name,formula,category,subcategory,density,thermal_conductivity,yield_strength,tensile_strength,youngs_modulus,hardness_vickers,thermal_expansion,electrical_resistivity,notes,source,mp_material_id,fracture_toughness,weibull_modulus
LaMgSi2,LaMgSi2,Ceramic,Mixed,4.208,,,,,,,,JVASP-97732,JARVIS dft_3d (scraped),,,
V6O7F5,V6O7F5,Ceramic,Oxide,4.36,,,,,,,,JVASP-43842,JARVIS dft_3d (scraped),,,
Nd3S2Br5,Nd3S2Br5,Ceramic,Mixed,5.306,,,,,,,,JVASP-98494,JARVIS dft_3d (scraped),,,
Sr2TaN3,Sr2TaN3,Ceramic,Nitride,6.188,,,,,,,,JVASP-97336,JARVIS dft_3d (scraped),,,
BaSm2CoO5,BaSm2CoO5,Ceramic,Oxide,7.338,,,,,,,,JVASP-87903,JARVIS dft_3d (scraped),,,
LiTaO3,LiTaO3,Ceramic,Oxide,6.786,,,,,,,,JVASP-49773,JARVIS dft_3d (scraped),,,
BiClO,BiClO,Ceramic,Oxide,7.575,,,,87.5489583245366,,,,JVASP-3534,JARVIS dft_3d (scraped),,,
CrS2,CrS2,Ceramic,Mixed,2.923,,,,35.011279509586544,,,,JVASP-15831,JARVIS dft_3d (scraped),,,
Li2MnCuO4,Li2MnCuO4,Ceramic,Oxide,4.596,,,,,,,,JVASP-43424,JARVIS dft_3d (scraped),,,
Sm2SeO2,Sm2SeO2,Ceramic,Oxide,7.303,,,,152.24175497446063,,,,JVASP-3252,JARVIS dft_3d (scraped),,,
PdF3,PdF3,Ceramic,Mixed,4.857,,,,,,,,JVASP-14081,JARVIS dft_3d (scraped),,,
HfTlCuS3,HfTlCuS3,Ceramic,Mixed,7.042,,,,,,,,JVASP-98173,JARVIS dft_3d (scraped),,,
NaFePO4,NaFePO4,Ceramic,Oxide,3.695,,,,,,,,JVASP-48383,JARVIS dft_3d (scraped),,,
LiNiN,LiNiN,Ceramic,Nitride,3.489,,,,,,,,JVASP-18544,JARVIS dft_3d (scraped),,,
MgIn2O4,MgIn2O4,Ceramic,Oxide,5.866,,,,,,,,JVASP-53071,JARVIS dft_3d (scraped),,,
LiH4SNO4,LiH4SNO4,Ceramic,Oxide,1.942,,,,,,,,JVASP-97428,JARVIS dft_3d (scraped),,,
LiCuS,LiCuS,Ceramic,Mixed,3.791,,,,39.27684191589836,,,,JVASP-43079,JARVIS dft_3d (scraped),,,
AlInO3,AlInO3,Ceramic,Oxide,5.641,,,,240.48356948147256,,,,JVASP-50935,JARVIS dft_3d (scraped),,,
LiAgF2,LiAgF2,Ceramic,Mixed,5.706,,,,59.82803287128713,,,,JVASP-22698,JARVIS dft_3d (scraped),,,
Ho6ReO12,Ho6ReO12,Ceramic,Oxide,8.889,,,,,,,,JVASP-50807,JARVIS dft_3d (scraped),,,
RbTaO3,RbTaO3,Ceramic,Oxide,7.739,,,,172.39648368654085,,,,JVASP-50006,JARVIS dft_3d (scraped),,,
AlFeO3,AlFeO3,Ceramic,Oxide,4.756,,,,,,,,JVASP-43622,JARVIS dft_3d (scraped),,,
K3CaP2HO8,K3CaP2HO8,Ceramic,Oxide,2.751,,,,,,,,JVASP-52881,JARVIS dft_3d (scraped),,,
Ba9Y2Si6O24,Ba9Y2Si6O24,Ceramic,Oxide,4.985,,,,,,,,JVASP-98354,JARVIS dft_3d (scraped),,,
Sm2ZnS4,Sm2ZnS4,Ceramic,Mixed,5.375,,,,,,,,JVASP-53435,JARVIS dft_3d (scraped),,,
Li2FeO2F,Li2FeO2F,Ceramic,Oxide,4.128,,,,150.82511648392406,,,,JVASP-42398,JARVIS dft_3d (scraped),,,
VS2,VS2,Ceramic,Mixed,3.397,,,,74.65148828585876,,,,JVASP-16930,JARVIS dft_3d (scraped),,,
LiCu2F6,LiCu2F6,Ceramic,Mixed,4.246,,,,,,,,JVASP-50690,JARVIS dft_3d (scraped),,,
Ba4HfCl,Ba4HfCl,Ceramic,Mixed,4.784,,,,3.0311743772241995,,,,JVASP-64241,JARVIS dft_3d (scraped),,,
Li4VCr3O8,Li4VCr3O8,Ceramic,Oxide,4.284,,,,,,,,JVASP-43523,JARVIS dft_3d (scraped),,,
Tb2SeO2,Tb2SeO2,Ceramic,Oxide,8.077,,,,165.70762059181197,,,,JVASP-50107,JARVIS dft_3d (scraped),,,
RbAuN12,RbAuN12,Ceramic,Nitride,3.413,,,,,,,,JVASP-88701,JARVIS dft_3d (scraped),,,
Li3CrSiO5,Li3CrSiO5,Ceramic,Oxide,3.706,,,,,,,,JVASP-47760,JARVIS dft_3d (scraped),,,
Mg3NiO4,Mg3NiO4,Ceramic,Oxide,4.371,,,,,,,,JVASP-91608,JARVIS dft_3d (scraped),,,
Li5Ti2Co3O10,Li5Ti2Co3O10,Ceramic,Oxide,4.47,,,,,,,,JVASP-48576,JARVIS dft_3d (scraped),,,
Tl2SnF6,Tl2SnF6,Ceramic,Mixed,6.899,,,,33.06161042944785,,,,JVASP-3096,JARVIS dft_3d (scraped),,,
NiSnF6,NiSnF6,Ceramic,Mixed,4.687,,,,73.86007699061255,,,,JVASP-22617,JARVIS dft_3d (scraped),,,
La2PI2,La2PI2,Ceramic,Mixed,5.249,,,,,,,,JVASP-85271,JARVIS dft_3d (scraped),,,
LiVCuO4,LiVCuO4,Ceramic,Oxide,4.071,,,,,,,,JVASP-48745,JARVIS dft_3d (scraped),,,
Sb,Sb,Ceramic,Elemental,6.665,,,,82.0486388384755,,,,JVASP-14614,JARVIS dft_3d (scraped),,,
Dy3Mn3Ga2Si,Dy3Mn3Ga2Si,Ceramic,Mixed,8.061,,,,46.00224113212782,,,,JVASP-5059,JARVIS dft_3d (scraped),,,
ScNiC2,ScNiC2,Ceramic,Carbide,5.129,,,,,,,,JVASP-90713,JARVIS dft_3d (scraped),,,
Li4CuSi2O7,Li4CuSi2O7,Ceramic,Oxide,3.049,,,,,,,,JVASP-50463,JARVIS dft_3d (scraped),,,
Sn3PO4F3,Sn3PO4F3,Ceramic,Oxide,4.984,,,,47.78065027755749,,,,JVASP-97853,JARVIS dft_3d (scraped),,,
LiMn7O12,LiMn7O12,Ceramic,Oxide,4.724,,,,,,,,JVASP-48232,JARVIS dft_3d (scraped),,,
